backbone.network.4.17.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.17.mlp.fc1.bias	(1280,)
backbone.network.4.17.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.17.mlp.fc2.bias	(320,)
backbone.network.5.proj.weight	(512, 320, 3, 3)
backbone.network.5.proj.bias	(512,)
backbone.network.6.0.layer_scale_1	(512,)
backbone.network.6.0.layer_scale_2	(512,)
backbone.network.6.0.norm1.weight	(512,)
backbone.network.6.0.norm1.bias	(512,)
backbone.network.6.0.norm2.weight	(512,)
backbone.network.6.0.norm2.bias	(512,)
backbone.network.6.0.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.0.mlp.fc1.bias	(2048,)
backbone.network.6.0.mlp.fc2.weight	(512, 2048, 1, 1)
backbone.network.6.0.mlp.fc2.bias	(512,)
backbone.network.6.1.layer_scale_1	(512,)
backbone.network.6.1.layer_scale_2	(512,)
backbone.network.6.1.norm1.weight	(512,)
backbone.network.6.1.norm1.bias	(512,)
backbone.network.6.1.norm2.weight	(512,)
backbone.network.6.1.norm2.bias	(512,)
backbone.network.6.1.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.1.mlp.fc1.bias	(2048,)
backbone.network.6.1.mlp.fc2.weight	(512, 2048, 1, 1)
backbone.network.6.1.mlp.fc2.bias	(512,)
backbone.network.6.2.layer_scale_1	(512,)
backbone.network.6.2.layer_scale_2	(512,)
backbone.network.6.2.norm1.weight	(512,)
backbone.network.6.2.norm1.bias	(512,)
backbone.network.6.2.norm2.weight	(512,)
backbone.network.6.2.norm2.bias	(512,)
backbone.network.6.2.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.2.mlp.fc1.bias	(2048,)
backbone.network.6.2.mlp.fc2.weight	(512, 2048, 1, 1)
backbone.network.6.2.mlp.fc2.bias	(512,)
backbone.network.6.3.layer_scale_1	(512,)
backbone.network.6.3.layer_scale_2	(512,)
backbone.network.6.3.norm1.weight	(512,)
backbone.network.6.3.norm1.bias	(512,)
backbone.network.6.3.norm2.weight	(512,)
backbone.network.6.3.norm2.bias	(512,)
backbone.network.6.3.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.3.mlp.fc1.bias	(2048,)
backbone.network.6.3.mlp.fc2.weight	(512, 2048, 1, 1)
