backbone.network.2.0.token_mixer.mixer.rbr_conv.0.bn.bias	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_conv.0.bn.running_mean	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_conv.0.bn.running_var	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.2.0.token_mixer.mixer.rbr_scale.conv.weight	(152, 1, 1, 1)
backbone.network.2.0.token_mixer.mixer.rbr_scale.bn.weight	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_scale.bn.bias	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_scale.bn.running_mean	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_scale.bn.running_var	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_scale.bn.num_batches_tracked	()
backbone.network.2.0.convffn.conv.conv.weight	(152, 1, 7, 7)
backbone.network.2.0.convffn.conv.bn.weight	(152,)
backbone.network.2.0.convffn.conv.bn.bias	(152,)
backbone.network.2.0.convffn.conv.bn.running_mean	(152,)
backbone.network.2.0.convffn.conv.bn.running_var	(152,)
backbone.network.2.0.convffn.conv.bn.num_batches_tracked	()
backbone.network.2.0.convffn.fc1.weight	(608, 152, 1, 1)
backbone.network.2.0.convffn.fc1.bias	(608,)
backbone.network.2.0.convffn.fc2.weight	(152, 608, 1, 1)
backbone.network.2.0.convffn.fc2.bias	(152,)
backbone.network.2.1.layer_scale	(152, 1, 1)
backbone.network.2.1.token_mixer.layer_scale	(152, 1, 1)
backbone.network.2.1.token_mixer.norm.rbr_skip.weight	(152,)
backbone.network.2.1.token_mixer.norm.rbr_skip.bias	(152,)
backbone.network.2.1.token_mixer.norm.rbr_skip.running_mean	(152,)
backbone.network.2.1.token_mixer.norm.rbr_skip.running_var	(152,)
backbone.network.2.1.token_mixer.norm.rbr_skip.num_batches_tracked	()
backbone.network.2.1.token_mixer.mixer.rbr_skip.weight	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_skip.bias	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_skip.running_mean	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_skip.running_var	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_skip.num_batches_tracked	()
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.conv.weight	(152, 1, 3, 3)
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.bn.weight	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.bn.bias	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.bn.running_mean	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.bn.running_var	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.2.1.token_mixer.mixer.rbr_scale.conv.weight	(152, 1, 1, 1)
backbone.network.2.1.token_mixer.mixer.rbr_scale.bn.weight	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_scale.bn.bias	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_scale.bn.running_mean	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_scale.bn.running_var	(152,)
backbone.network.2.1.token_mixer.mixer.rbr_scale.bn.num_batches_tracked	()
backbone.network.2.1.convffn.conv.conv.weight	(152, 1, 7, 7)
backbone.network.2.1.convffn.conv.bn.weight	(152,)
backbone.network.2.1.convffn.conv.bn.bias	(152,)
backbone.network.2.1.convffn.conv.bn.running_mean	(152,)
backbone.network.2.1.convffn.conv.bn.running_var	(152,)
backbone.network.2.1.convffn.conv.bn.num_batches_tracked	()
backbone.network.2.1.convffn.fc1.weight	(608, 152, 1, 1)
backbone.network.2.1.convffn.fc1.bias	(608,)
backbone.network.2.1.convffn.fc2.weight	(152, 608, 1, 1)
backbone.network.2.1.convffn.fc2.bias	(152,)
backbone.network.2.2.layer_scale	(152, 1, 1)
backbone.network.2.2.token_mixer.layer_scale	(152, 1, 1)
backbone.network.2.2.token_mixer.norm.rbr_skip.weight	(152,)
backbone.network.2.2.token_mixer.norm.rbr_skip.bias	(152,)
backbone.network.2.2.token_mixer.norm.rbr_skip.running_mean	(152,)
backbone.network.2.2.token_mixer.norm.rbr_skip.running_var	(152,)
backbone.network.2.2.token_mixer.norm.rbr_skip.num_batches_tracked	()
backbone.network.2.2.token_mixer.mixer.rbr_skip.weight	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_skip.bias	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_skip.running_mean	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_skip.running_var	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_skip.num_batches_tracked	()
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.conv.weight	(152, 1, 3, 3)
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.bn.weight	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.bn.bias	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.bn.running_mean	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.bn.running_var	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.2.2.token_mixer.mixer.rbr_scale.conv.weight	(152, 1, 1, 1)
backbone.network.2.2.token_mixer.mixer.rbr_scale.bn.weight	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_scale.bn.bias	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_scale.bn.running_mean	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_scale.bn.running_var	(152,)
backbone.network.2.2.token_mixer.mixer.rbr_scale.bn.num_batches_tracked	()
backbone.network.2.2.convffn.conv.conv.weight	(152, 1, 7, 7)
backbone.network.2.2.convffn.conv.bn.weight	(152,)
backbone.network.2.2.convffn.conv.bn.bias	(152,)
backbone.network.2.2.convffn.conv.bn.running_mean	(152,)
backbone.network.2.2.convffn.conv.bn.running_var	(152,)
backbone.network.2.2.convffn.conv.bn.num_batches_tracked	()
backbone.network.2.2.convffn.fc1.weight	(608, 152, 1, 1)
backbone.network.2.2.convffn.fc1.bias	(608,)
backbone.network.2.2.convffn.fc2.weight	(152, 608, 1, 1)
backbone.network.2.2.convffn.fc2.bias	(152,)
backbone.network.2.3.layer_scale	(152, 1, 1)
backbone.network.2.3.token_mixer.layer_scale	(152, 1, 1)
backbone.network.2.3.token_mixer.norm.rbr_skip.weight	(152,)
backbone.network.2.3.token_mixer.norm.rbr_skip.bias	(152,)
backbone.network.2.3.token_mixer.norm.rbr_skip.running_mean	(152,)
backbone.network.2.3.token_mixer.norm.rbr_skip.running_var	(152,)
backbone.network.2.3.token_mixer.norm.rbr_skip.num_batches_tracked	()
backbone.network.2.3.token_mixer.mixer.rbr_skip.weight	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_skip.bias	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_skip.running_mean	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_skip.running_var	(152,)
