backbone.backbone.model.levels.2.blocks.2.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.2.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.2.mixer.conv1d_z.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.2.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.2.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.2.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.2.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.2.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.2.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.3.g_1	(512,)
backbone.backbone.model.levels.2.blocks.3.g_2	(512,)
backbone.backbone.model.levels.2.blocks.3.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.3.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.3.mixer.A_log	(256, 8)
backbone.backbone.model.levels.2.blocks.3.mixer.D	(256,)
backbone.backbone.model.levels.2.blocks.3.mixer.in_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.3.mixer.x_proj.weight	(48, 256)
backbone.backbone.model.levels.2.blocks.3.mixer.dt_proj.weight	(256, 32)
backbone.backbone.model.levels.2.blocks.3.mixer.dt_proj.bias	(256,)
backbone.backbone.model.levels.2.blocks.3.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.3.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.3.mixer.conv1d_z.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.3.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.3.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.3.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.3.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.3.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.3.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.4.g_1	(512,)
backbone.backbone.model.levels.2.blocks.4.g_2	(512,)
backbone.backbone.model.levels.2.blocks.4.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.4.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.4.mixer.A_log	(256, 8)
backbone.backbone.model.levels.2.blocks.4.mixer.D	(256,)
backbone.backbone.model.levels.2.blocks.4.mixer.in_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.4.mixer.x_proj.weight	(48, 256)
backbone.backbone.model.levels.2.blocks.4.mixer.dt_proj.weight	(256, 32)
backbone.backbone.model.levels.2.blocks.4.mixer.dt_proj.bias	(256,)
backbone.backbone.model.levels.2.blocks.4.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.4.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.4.mixer.conv1d_z.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.4.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.4.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.4.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.4.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.4.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.4.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.5.g_1	(512,)
backbone.backbone.model.levels.2.blocks.5.g_2	(512,)
backbone.backbone.model.levels.2.blocks.5.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.5.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.5.mixer.qkv.weight	(1536, 512)
backbone.backbone.model.levels.2.blocks.5.mixer.qkv.bias	(1536,)
backbone.backbone.model.levels.2.blocks.5.mixer.proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.5.mixer.proj.bias	(512,)
backbone.backbone.model.levels.2.blocks.5.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.5.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.5.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.5.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.5.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.5.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.6.g_1	(512,)
backbone.backbone.model.levels.2.blocks.6.g_2	(512,)
backbone.backbone.model.levels.2.blocks.6.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.6.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.6.mixer.qkv.weight	(1536, 512)
backbone.backbone.model.levels.2.blocks.6.mixer.qkv.bias	(1536,)
backbone.backbone.model.levels.2.blocks.6.mixer.proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.6.mixer.proj.bias	(512,)
backbone.backbone.model.levels.2.blocks.6.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.6.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.6.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.6.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.6.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.6.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.7.g_1	(512,)
backbone.backbone.model.levels.2.blocks.7.g_2	(512,)
backbone.backbone.model.levels.2.blocks.7.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.7.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.7.mixer.qkv.weight	(1536, 512)
backbone.backbone.model.levels.2.blocks.7.mixer.qkv.bias	(1536,)
backbone.backbone.model.levels.2.blocks.7.mixer.proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.7.mixer.proj.bias	(512,)
backbone.backbone.model.levels.2.blocks.7.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.7.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.7.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.7.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.7.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.7.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.8.g_1	(512,)
backbone.backbone.model.levels.2.blocks.8.g_2	(512,)
backbone.backbone.model.levels.2.blocks.8.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.8.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.8.mixer.qkv.weight	(1536, 512)
backbone.backbone.model.levels.2.blocks.8.mixer.qkv.bias	(1536,)
backbone.backbone.model.levels.2.blocks.8.mixer.proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.8.mixer.proj.bias	(512,)
backbone.backbone.model.levels.2.blocks.8.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.8.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.8.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.8.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.8.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.8.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.9.g_1	(512,)
backbone.backbone.model.levels.2.blocks.9.g_2	(512,)
backbone.backbone.model.levels.2.blocks.9.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.9.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.9.mixer.qkv.weight	(1536, 512)
backbone.backbone.model.levels.2.blocks.9.mixer.qkv.bias	(1536,)
backbone.backbone.model.levels.2.blocks.9.mixer.proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.9.mixer.proj.bias	(512,)
backbone.backbone.model.levels.2.blocks.9.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.9.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.9.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.9.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.9.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.9.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.downsample.reduction.0.weight	(1024, 512, 3, 3)
backbone.backbone.model.levels.3.blocks.0.g_1	(1024,)
backbone.backbone.model.levels.3.blocks.0.g_2	(1024,)
backbone.backbone.model.levels.3.blocks.0.norm1.weight	(1024,)
backbone.backbone.model.levels.3.blocks.0.norm1.bias	(1024,)
backbone.backbone.model.levels.3.blocks.0.mixer.A_log	(512, 8)
backbone.backbone.model.levels.3.blocks.0.mixer.D	(512,)
backbone.backbone.model.levels.3.blocks.0.mixer.in_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.0.mixer.x_proj.weight	(80, 512)
backbone.backbone.model.levels.3.blocks.0.mixer.dt_proj.weight	(512, 64)
backbone.backbone.model.levels.3.blocks.0.mixer.dt_proj.bias	(512,)
backbone.backbone.model.levels.3.blocks.0.mixer.out_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.0.mixer.conv1d_x.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.0.mixer.conv1d_z.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.0.norm2.weight	(1024,)
backbone.backbone.model.levels.3.blocks.0.norm2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.0.mlp.fc1.weight	(4096, 1024)
backbone.backbone.model.levels.3.blocks.0.mlp.fc1.bias	(4096,)
backbone.backbone.model.levels.3.blocks.0.mlp.fc2.weight	(1024, 4096)
backbone.backbone.model.levels.3.blocks.0.mlp.fc2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.1.g_1	(1024,)
backbone.backbone.model.levels.3.blocks.1.g_2	(1024,)
backbone.backbone.model.levels.3.blocks.1.norm1.weight	(1024,)
backbone.backbone.model.levels.3.blocks.1.norm1.bias	(1024,)
backbone.backbone.model.levels.3.blocks.1.mixer.A_log	(512, 8)
backbone.backbone.model.levels.3.blocks.1.mixer.D	(512,)
backbone.backbone.model.levels.3.blocks.1.mixer.in_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.1.mixer.x_proj.weight	(80, 512)
backbone.backbone.model.levels.3.blocks.1.mixer.dt_proj.weight	(512, 64)
backbone.backbone.model.levels.3.blocks.1.mixer.dt_proj.bias	(512,)
backbone.backbone.model.levels.3.blocks.1.mixer.out_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.1.mixer.conv1d_x.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.1.mixer.conv1d_z.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.1.norm2.weight	(1024,)
backbone.backbone.model.levels.3.blocks.1.norm2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.1.mlp.fc1.weight	(4096, 1024)
backbone.backbone.model.levels.3.blocks.1.mlp.fc1.bias	(4096,)
backbone.backbone.model.levels.3.blocks.1.mlp.fc2.weight	(1024, 4096)
backbone.backbone.model.levels.3.blocks.1.mlp.fc2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.2.g_1	(1024,)
backbone.backbone.model.levels.3.blocks.2.g_2	(1024,)
backbone.backbone.model.levels.3.blocks.2.norm1.weight	(1024,)
backbone.backbone.model.levels.3.blocks.2.norm1.bias	(1024,)
backbone.backbone.model.levels.3.blocks.2.mixer.A_log	(512, 8)
backbone.backbone.model.levels.3.blocks.2.mixer.D	(512,)
backbone.backbone.model.levels.3.blocks.2.mixer.in_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.2.mixer.x_proj.weight	(80, 512)
backbone.backbone.model.levels.3.blocks.2.mixer.dt_proj.weight	(512, 64)
backbone.backbone.model.levels.3.blocks.2.mixer.dt_proj.bias	(512,)
backbone.backbone.model.levels.3.blocks.2.mixer.out_proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.2.mixer.conv1d_x.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.2.mixer.conv1d_z.weight	(512, 1, 3)
backbone.backbone.model.levels.3.blocks.2.norm2.weight	(1024,)
backbone.backbone.model.levels.3.blocks.2.norm2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.2.mlp.fc1.weight	(4096, 1024)
backbone.backbone.model.levels.3.blocks.2.mlp.fc1.bias	(4096,)
backbone.backbone.model.levels.3.blocks.2.mlp.fc2.weight	(1024, 4096)
backbone.backbone.model.levels.3.blocks.2.mlp.fc2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.3.g_1	(1024,)
backbone.backbone.model.levels.3.blocks.3.g_2	(1024,)
backbone.backbone.model.levels.3.blocks.3.norm1.weight	(1024,)
backbone.backbone.model.levels.3.blocks.3.norm1.bias	(1024,)
backbone.backbone.model.levels.3.blocks.3.mixer.qkv.weight	(3072, 1024)
backbone.backbone.model.levels.3.blocks.3.mixer.qkv.bias	(3072,)
backbone.backbone.model.levels.3.blocks.3.mixer.proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.3.mixer.proj.bias	(1024,)
backbone.backbone.model.levels.3.blocks.3.norm2.weight	(1024,)
backbone.backbone.model.levels.3.blocks.3.norm2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.3.mlp.fc1.weight	(4096, 1024)
backbone.backbone.model.levels.3.blocks.3.mlp.fc1.bias	(4096,)
backbone.backbone.model.levels.3.blocks.3.mlp.fc2.weight	(1024, 4096)
backbone.backbone.model.levels.3.blocks.3.mlp.fc2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.4.g_1	(1024,)
backbone.backbone.model.levels.3.blocks.4.g_2	(1024,)
backbone.backbone.model.levels.3.blocks.4.norm1.weight	(1024,)
backbone.backbone.model.levels.3.blocks.4.norm1.bias	(1024,)
backbone.backbone.model.levels.3.blocks.4.mixer.qkv.weight	(3072, 1024)
backbone.backbone.model.levels.3.blocks.4.mixer.qkv.bias	(3072,)
backbone.backbone.model.levels.3.blocks.4.mixer.proj.weight	(1024, 1024)
backbone.backbone.model.levels.3.blocks.4.mixer.proj.bias	(1024,)
backbone.backbone.model.levels.3.blocks.4.norm2.weight	(1024,)
backbone.backbone.model.levels.3.blocks.4.norm2.bias	(1024,)
backbone.backbone.model.levels.3.blocks.4.mlp.fc1.weight	(4096, 1024)
backbone.backbone.model.levels.3.blocks.4.mlp.fc1.bias	(4096,)
backbone.backbone.model.levels.3.blocks.4.mlp.fc2.weight	(1024, 4096)
backbone.backbone.model.levels.3.blocks.4.mlp.fc2.bias	(1024,)
backbone.backbone.model.norm.weight	(1024,)
backbone.backbone.model.norm.bias	(1024,)
backbone.backbone.model.norm.running_mean	(1024,)
backbone.backbone.model.norm.running_var	(1024,)
backbone.backbone.model.norm.num_batches_tracked	()
