backbone.layers.4.0.expand_conv.conv.weight	(288, 48, 1, 1)
backbone.layers.4.0.expand_conv.bn.weight	(288,)
backbone.layers.4.0.expand_conv.bn.bias	(288,)
backbone.layers.4.0.expand_conv.bn.running_mean	(288,)
backbone.layers.4.0.expand_conv.bn.running_var	(288,)
backbone.layers.4.0.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.0.depthwise_conv.conv.weight	(288, 1, 3, 3)
backbone.layers.4.0.depthwise_conv.bn.weight	(288,)
backbone.layers.4.0.depthwise_conv.bn.bias	(288,)
backbone.layers.4.0.depthwise_conv.bn.running_mean	(288,)
backbone.layers.4.0.depthwise_conv.bn.running_var	(288,)
backbone.layers.4.0.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.0.se.conv1.conv.weight	(12, 288, 1, 1)
backbone.layers.4.0.se.conv1.conv.bias	(12,)
backbone.layers.4.0.se.conv2.conv.weight	(288, 12, 1, 1)
backbone.layers.4.0.se.conv2.conv.bias	(288,)
backbone.layers.4.0.linear_conv.conv.weight	(96, 288, 1, 1)
backbone.layers.4.0.linear_conv.bn.weight	(96,)
backbone.layers.4.0.linear_conv.bn.bias	(96,)
backbone.layers.4.0.linear_conv.bn.running_mean	(96,)
backbone.layers.4.0.linear_conv.bn.running_var	(96,)
backbone.layers.4.0.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.1.expand_conv.conv.weight	(576, 96, 1, 1)
backbone.layers.4.1.expand_conv.bn.weight	(576,)
backbone.layers.4.1.expand_conv.bn.bias	(576,)
backbone.layers.4.1.expand_conv.bn.running_mean	(576,)
backbone.layers.4.1.expand_conv.bn.running_var	(576,)
backbone.layers.4.1.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.1.depthwise_conv.conv.weight	(576, 1, 3, 3)
backbone.layers.4.1.depthwise_conv.bn.weight	(576,)
backbone.layers.4.1.depthwise_conv.bn.bias	(576,)
backbone.layers.4.1.depthwise_conv.bn.running_mean	(576,)
backbone.layers.4.1.depthwise_conv.bn.running_var	(576,)
backbone.layers.4.1.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.1.se.conv1.conv.weight	(24, 576, 1, 1)
backbone.layers.4.1.se.conv1.conv.bias	(24,)
backbone.layers.4.1.se.conv2.conv.weight	(576, 24, 1, 1)
backbone.layers.4.1.se.conv2.conv.bias	(576,)
backbone.layers.4.1.linear_conv.conv.weight	(96, 576, 1, 1)
backbone.layers.4.1.linear_conv.bn.weight	(96,)
backbone.layers.4.1.linear_conv.bn.bias	(96,)
backbone.layers.4.1.linear_conv.bn.running_mean	(96,)
backbone.layers.4.1.linear_conv.bn.running_var	(96,)
backbone.layers.4.1.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.2.expand_conv.conv.weight	(576, 96, 1, 1)
backbone.layers.4.2.expand_conv.bn.weight	(576,)
backbone.layers.4.2.expand_conv.bn.bias	(576,)
backbone.layers.4.2.expand_conv.bn.running_mean	(576,)
backbone.layers.4.2.expand_conv.bn.running_var	(576,)
backbone.layers.4.2.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.2.depthwise_conv.conv.weight	(576, 1, 3, 3)
backbone.layers.4.2.depthwise_conv.bn.weight	(576,)
backbone.layers.4.2.depthwise_conv.bn.bias	(576,)
backbone.layers.4.2.depthwise_conv.bn.running_mean	(576,)
backbone.layers.4.2.depthwise_conv.bn.running_var	(576,)
backbone.layers.4.2.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.2.se.conv1.conv.weight	(24, 576, 1, 1)
backbone.layers.4.2.se.conv1.conv.bias	(24,)
backbone.layers.4.2.se.conv2.conv.weight	(576, 24, 1, 1)
backbone.layers.4.2.se.conv2.conv.bias	(576,)
backbone.layers.4.2.linear_conv.conv.weight	(96, 576, 1, 1)
backbone.layers.4.2.linear_conv.bn.weight	(96,)
backbone.layers.4.2.linear_conv.bn.bias	(96,)
backbone.layers.4.2.linear_conv.bn.running_mean	(96,)
backbone.layers.4.2.linear_conv.bn.running_var	(96,)
backbone.layers.4.2.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.3.expand_conv.conv.weight	(576, 96, 1, 1)
backbone.layers.4.3.expand_conv.bn.weight	(576,)
backbone.layers.4.3.expand_conv.bn.bias	(576,)
backbone.layers.4.3.expand_conv.bn.running_mean	(576,)
backbone.layers.4.3.expand_conv.bn.running_var	(576,)
backbone.layers.4.3.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.3.depthwise_conv.conv.weight	(576, 1, 3, 3)
backbone.layers.4.3.depthwise_conv.bn.weight	(576,)
backbone.layers.4.3.depthwise_conv.bn.bias	(576,)
backbone.layers.4.3.depthwise_conv.bn.running_mean	(576,)
backbone.layers.4.3.depthwise_conv.bn.running_var	(576,)
backbone.layers.4.3.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.3.se.conv1.conv.weight	(24, 576, 1, 1)
backbone.layers.4.3.se.conv1.conv.bias	(24,)
backbone.layers.4.3.se.conv2.conv.weight	(576, 24, 1, 1)
backbone.layers.4.3.se.conv2.conv.bias	(576,)
backbone.layers.4.3.linear_conv.conv.weight	(96, 576, 1, 1)
backbone.layers.4.3.linear_conv.bn.weight	(96,)
backbone.layers.4.3.linear_conv.bn.bias	(96,)
backbone.layers.4.3.linear_conv.bn.running_mean	(96,)
backbone.layers.4.3.linear_conv.bn.running_var	(96,)
