backbone.backbone.features_conv3_4.c1x1_a.bn.bias	(672,)
backbone.backbone.features_conv3_4.c1x1_a.bn.running_mean	(672,)
backbone.backbone.features_conv3_4.c1x1_a.bn.running_var	(672,)
backbone.backbone.features_conv3_4.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv3_4.c1x1_a.conv.weight	(320, 672, 1, 1)
backbone.backbone.features_conv3_4.c3x3_b.bn.weight	(320,)
backbone.backbone.features_conv3_4.c3x3_b.bn.bias	(320,)
backbone.backbone.features_conv3_4.c3x3_b.bn.running_mean	(320,)
backbone.backbone.features_conv3_4.c3x3_b.bn.running_var	(320,)
backbone.backbone.features_conv3_4.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv3_4.c3x3_b.conv.weight	(320, 8, 3, 3)
backbone.backbone.features_conv3_4.c1x1_c.bn.weight	(320,)
backbone.backbone.features_conv3_4.c1x1_c.bn.bias	(320,)
backbone.backbone.features_conv3_4.c1x1_c.bn.running_mean	(320,)
backbone.backbone.features_conv3_4.c1x1_c.bn.running_var	(320,)
backbone.backbone.features_conv3_4.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_4.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv3_5.c1x1_a.bn.weight	(704,)
backbone.backbone.features_conv3_5.c1x1_a.bn.bias	(704,)
backbone.backbone.features_conv3_5.c1x1_a.bn.running_mean	(704,)
backbone.backbone.features_conv3_5.c1x1_a.bn.running_var	(704,)
backbone.backbone.features_conv3_5.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv3_5.c1x1_a.conv.weight	(320, 704, 1, 1)
backbone.backbone.features_conv3_5.c3x3_b.bn.weight	(320,)
backbone.backbone.features_conv3_5.c3x3_b.bn.bias	(320,)
backbone.backbone.features_conv3_5.c3x3_b.bn.running_mean	(320,)
backbone.backbone.features_conv3_5.c3x3_b.bn.running_var	(320,)
backbone.backbone.features_conv3_5.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv3_5.c3x3_b.conv.weight	(320, 8, 3, 3)
backbone.backbone.features_conv3_5.c1x1_c.bn.weight	(320,)
backbone.backbone.features_conv3_5.c1x1_c.bn.bias	(320,)
backbone.backbone.features_conv3_5.c1x1_c.bn.running_mean	(320,)
backbone.backbone.features_conv3_5.c1x1_c.bn.running_var	(320,)
backbone.backbone.features_conv3_5.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_5.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv3_6.c1x1_a.bn.weight	(736,)
backbone.backbone.features_conv3_6.c1x1_a.bn.bias	(736,)
backbone.backbone.features_conv3_6.c1x1_a.bn.running_mean	(736,)
backbone.backbone.features_conv3_6.c1x1_a.bn.running_var	(736,)
backbone.backbone.features_conv3_6.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv3_6.c1x1_a.conv.weight	(320, 736, 1, 1)
backbone.backbone.features_conv3_6.c3x3_b.bn.weight	(320,)
backbone.backbone.features_conv3_6.c3x3_b.bn.bias	(320,)
backbone.backbone.features_conv3_6.c3x3_b.bn.running_mean	(320,)
backbone.backbone.features_conv3_6.c3x3_b.bn.running_var	(320,)
backbone.backbone.features_conv3_6.c3x3_b.bn.num_batches_tracked	()
