backbone.backbone.stages.2.16.fc1.bias	(2048,)
backbone.backbone.stages.2.16.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.16.conv.bias	(384,)
backbone.backbone.stages.2.16.fc2.weight	(384, 1024)
backbone.backbone.stages.2.16.fc2.bias	(384,)
backbone.backbone.stages.2.17.norm.weight	(384,)
backbone.backbone.stages.2.17.norm.bias	(384,)
backbone.backbone.stages.2.17.fc1.weight	(2048, 384)
backbone.backbone.stages.2.17.fc1.bias	(2048,)
backbone.backbone.stages.2.17.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.17.conv.bias	(384,)
backbone.backbone.stages.2.17.fc2.weight	(384, 1024)
backbone.backbone.stages.2.17.fc2.bias	(384,)
backbone.backbone.stages.2.18.norm.weight	(384,)
backbone.backbone.stages.2.18.norm.bias	(384,)
backbone.backbone.stages.2.18.fc1.weight	(2048, 384)
backbone.backbone.stages.2.18.fc1.bias	(2048,)
backbone.backbone.stages.2.18.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.18.conv.bias	(384,)
backbone.backbone.stages.2.18.fc2.weight	(384, 1024)
backbone.backbone.stages.2.18.fc2.bias	(384,)
backbone.backbone.stages.2.19.norm.weight	(384,)
backbone.backbone.stages.2.19.norm.bias	(384,)
backbone.backbone.stages.2.19.fc1.weight	(2048, 384)
backbone.backbone.stages.2.19.fc1.bias	(2048,)
backbone.backbone.stages.2.19.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.19.conv.bias	(384,)
backbone.backbone.stages.2.19.fc2.weight	(384, 1024)
backbone.backbone.stages.2.19.fc2.bias	(384,)
backbone.backbone.stages.2.20.norm.weight	(384,)
backbone.backbone.stages.2.20.norm.bias	(384,)
backbone.backbone.stages.2.20.fc1.weight	(2048, 384)
backbone.backbone.stages.2.20.fc1.bias	(2048,)
backbone.backbone.stages.2.20.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.20.conv.bias	(384,)
backbone.backbone.stages.2.20.fc2.weight	(384, 1024)
backbone.backbone.stages.2.20.fc2.bias	(384,)
backbone.backbone.stages.2.21.norm.weight	(384,)
backbone.backbone.stages.2.21.norm.bias	(384,)
backbone.backbone.stages.2.21.fc1.weight	(2048, 384)
backbone.backbone.stages.2.21.fc1.bias	(2048,)
backbone.backbone.stages.2.21.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.21.conv.bias	(384,)
backbone.backbone.stages.2.21.fc2.weight	(384, 1024)
backbone.backbone.stages.2.21.fc2.bias	(384,)
backbone.backbone.stages.2.22.norm.weight	(384,)
backbone.backbone.stages.2.22.norm.bias	(384,)
backbone.backbone.stages.2.22.fc1.weight	(2048, 384)
backbone.backbone.stages.2.22.fc1.bias	(2048,)
backbone.backbone.stages.2.22.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.22.conv.bias	(384,)
backbone.backbone.stages.2.22.fc2.weight	(384, 1024)
backbone.backbone.stages.2.22.fc2.bias	(384,)
backbone.backbone.stages.2.23.norm.weight	(384,)
backbone.backbone.stages.2.23.norm.bias	(384,)
backbone.backbone.stages.2.23.fc1.weight	(2048, 384)
backbone.backbone.stages.2.23.fc1.bias	(2048,)
backbone.backbone.stages.2.23.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.23.conv.bias	(384,)
backbone.backbone.stages.2.23.fc2.weight	(384, 1024)
backbone.backbone.stages.2.23.fc2.bias	(384,)
