backbone.stages.2.10.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.10.pointwise_conv1.bias	(1536,)
backbone.stages.2.10.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.10.pointwise_conv2.bias	(384,)
backbone.stages.2.11.gamma	(384,)
backbone.stages.2.11.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.11.depthwise_conv.bias	(384,)
backbone.stages.2.11.norm.weight	(384,)
backbone.stages.2.11.norm.bias	(384,)
backbone.stages.2.11.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.11.pointwise_conv1.bias	(1536,)
backbone.stages.2.11.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.11.pointwise_conv2.bias	(384,)
backbone.stages.2.12.gamma	(384,)
backbone.stages.2.12.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.12.depthwise_conv.bias	(384,)
backbone.stages.2.12.norm.weight	(384,)
backbone.stages.2.12.norm.bias	(384,)
backbone.stages.2.12.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.12.pointwise_conv1.bias	(1536,)
backbone.stages.2.12.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.12.pointwise_conv2.bias	(384,)
backbone.stages.2.13.gamma	(384,)
backbone.stages.2.13.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.13.depthwise_conv.bias	(384,)
backbone.stages.2.13.norm.weight	(384,)
backbone.stages.2.13.norm.bias	(384,)
backbone.stages.2.13.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.13.pointwise_conv1.bias	(1536,)
backbone.stages.2.13.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.13.pointwise_conv2.bias	(384,)
backbone.stages.2.14.gamma	(384,)
backbone.stages.2.14.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.14.depthwise_conv.bias	(384,)
backbone.stages.2.14.norm.weight	(384,)
backbone.stages.2.14.norm.bias	(384,)
backbone.stages.2.14.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.14.pointwise_conv1.bias	(1536,)
backbone.stages.2.14.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.14.pointwise_conv2.bias	(384,)
backbone.stages.2.15.gamma	(384,)
backbone.stages.2.15.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.15.depthwise_conv.bias	(384,)
backbone.stages.2.15.norm.weight	(384,)
backbone.stages.2.15.norm.bias	(384,)
backbone.stages.2.15.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.15.pointwise_conv1.bias	(1536,)
backbone.stages.2.15.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.15.pointwise_conv2.bias	(384,)
backbone.stages.2.16.gamma	(384,)
backbone.stages.2.16.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.16.depthwise_conv.bias	(384,)
backbone.stages.2.16.norm.weight	(384,)
backbone.stages.2.16.norm.bias	(384,)
backbone.stages.2.16.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.16.pointwise_conv1.bias	(1536,)
backbone.stages.2.16.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.16.pointwise_conv2.bias	(384,)
backbone.stages.2.17.gamma	(384,)
backbone.stages.2.17.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.17.depthwise_conv.bias	(384,)
backbone.stages.2.17.norm.weight	(384,)
backbone.stages.2.17.norm.bias	(384,)
backbone.stages.2.17.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.17.pointwise_conv1.bias	(1536,)
backbone.stages.2.17.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.17.pointwise_conv2.bias	(384,)
backbone.stages.2.18.gamma	(384,)
backbone.stages.2.18.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.18.depthwise_conv.bias	(384,)
backbone.stages.2.18.norm.weight	(384,)
backbone.stages.2.18.norm.bias	(384,)
backbone.stages.2.18.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.18.pointwise_conv1.bias	(1536,)
backbone.stages.2.18.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.18.pointwise_conv2.bias	(384,)
backbone.stages.2.19.gamma	(384,)
backbone.stages.2.19.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.19.depthwise_conv.bias	(384,)
backbone.stages.2.19.norm.weight	(384,)
backbone.stages.2.19.norm.bias	(384,)
backbone.stages.2.19.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.19.pointwise_conv1.bias	(1536,)
backbone.stages.2.19.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.19.pointwise_conv2.bias	(384,)
backbone.stages.2.20.gamma	(384,)
backbone.stages.2.20.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.20.depthwise_conv.bias	(384,)
backbone.stages.2.20.norm.weight	(384,)
backbone.stages.2.20.norm.bias	(384,)
backbone.stages.2.20.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.20.pointwise_conv1.bias	(1536,)
backbone.stages.2.20.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.20.pointwise_conv2.bias	(384,)
backbone.stages.2.21.gamma	(384,)
backbone.stages.2.21.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.21.depthwise_conv.bias	(384,)
backbone.stages.2.21.norm.weight	(384,)
backbone.stages.2.21.norm.bias	(384,)
backbone.stages.2.21.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.21.pointwise_conv1.bias	(1536,)
backbone.stages.2.21.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.21.pointwise_conv2.bias	(384,)
backbone.stages.2.22.gamma	(384,)
backbone.stages.2.22.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.22.depthwise_conv.bias	(384,)
backbone.stages.2.22.norm.weight	(384,)
backbone.stages.2.22.norm.bias	(384,)
backbone.stages.2.22.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.22.pointwise_conv1.bias	(1536,)
backbone.stages.2.22.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.22.pointwise_conv2.bias	(384,)
backbone.stages.2.23.gamma	(384,)
backbone.stages.2.23.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.23.depthwise_conv.bias	(384,)
backbone.stages.2.23.norm.weight	(384,)
backbone.stages.2.23.norm.bias	(384,)
backbone.stages.2.23.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.23.pointwise_conv1.bias	(1536,)
backbone.stages.2.23.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.23.pointwise_conv2.bias	(384,)
backbone.stages.2.24.gamma	(384,)
backbone.stages.2.24.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.24.depthwise_conv.bias	(384,)
backbone.stages.2.24.norm.weight	(384,)
backbone.stages.2.24.norm.bias	(384,)
backbone.stages.2.24.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.24.pointwise_conv1.bias	(1536,)
backbone.stages.2.24.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.24.pointwise_conv2.bias	(384,)
backbone.stages.2.25.gamma	(384,)
backbone.stages.2.25.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.25.depthwise_conv.bias	(384,)
backbone.stages.2.25.norm.weight	(384,)
backbone.stages.2.25.norm.bias	(384,)
backbone.stages.2.25.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.25.pointwise_conv1.bias	(1536,)
backbone.stages.2.25.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.25.pointwise_conv2.bias	(384,)
backbone.stages.2.26.gamma	(384,)
backbone.stages.2.26.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.26.depthwise_conv.bias	(384,)
backbone.stages.2.26.norm.weight	(384,)
backbone.stages.2.26.norm.bias	(384,)
backbone.stages.2.26.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.26.pointwise_conv1.bias	(1536,)
backbone.stages.2.26.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.26.pointwise_conv2.bias	(384,)
backbone.stages.3.0.gamma	(768,)
backbone.stages.3.0.depthwise_conv.weight	(768, 1, 7, 7)
backbone.stages.3.0.depthwise_conv.bias	(768,)
backbone.stages.3.0.norm.weight	(768,)
backbone.stages.3.0.norm.bias	(768,)
backbone.stages.3.0.pointwise_conv1.weight	(3072, 768)
backbone.stages.3.0.pointwise_conv1.bias	(3072,)
backbone.stages.3.0.pointwise_conv2.weight	(768, 3072)
backbone.stages.3.0.pointwise_conv2.bias	(768,)
backbone.stages.3.1.gamma	(768,)
backbone.stages.3.1.depthwise_conv.weight	(768, 1, 7, 7)
