backbone.backbone.stages_1.blocks.3.norm1.num_batches_tracked	()
backbone.backbone.stages_1.blocks.3.e_mhsa.q.weight	(192, 192)
backbone.backbone.stages_1.blocks.3.e_mhsa.q.bias	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.k.weight	(192, 192)
backbone.backbone.stages_1.blocks.3.e_mhsa.k.bias	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.v.weight	(192, 192)
backbone.backbone.stages_1.blocks.3.e_mhsa.v.bias	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.proj.weight	(192, 192)
backbone.backbone.stages_1.blocks.3.e_mhsa.proj.bias	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.norm.weight	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.norm.bias	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.norm.running_mean	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.3.e_mhsa.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.3.projection.conv.weight	(64, 192, 1, 1)
backbone.backbone.stages_1.blocks.3.projection.norm.weight	(64,)
backbone.backbone.stages_1.blocks.3.projection.norm.bias	(64,)
backbone.backbone.stages_1.blocks.3.projection.norm.running_mean	(64,)
backbone.backbone.stages_1.blocks.3.projection.norm.running_var	(64,)
backbone.backbone.stages_1.blocks.3.projection.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.3.mhca.group_conv3x3.weight	(64, 32, 3, 3)
backbone.backbone.stages_1.blocks.3.mhca.norm.weight	(64,)
backbone.backbone.stages_1.blocks.3.mhca.norm.bias	(64,)
backbone.backbone.stages_1.blocks.3.mhca.norm.running_mean	(64,)
backbone.backbone.stages_1.blocks.3.mhca.norm.running_var	(64,)
backbone.backbone.stages_1.blocks.3.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.3.mhca.projection.weight	(64, 64, 1, 1)
backbone.backbone.stages_1.blocks.3.norm2.weight	(256,)
backbone.backbone.stages_1.blocks.3.norm2.bias	(256,)
backbone.backbone.stages_1.blocks.3.norm2.running_mean	(256,)
backbone.backbone.stages_1.blocks.3.norm2.running_var	(256,)
backbone.backbone.stages_1.blocks.3.norm2.num_batches_tracked	()
backbone.backbone.stages_1.blocks.3.mlp.fc1.weight	(512, 256, 1, 1)
